farmer_id,predicted_score,reason_1_feature,reason_2_feature,reason_3_feature,reason_1_shap,reason_2_shap,reason_3_shap
F00011,584.58,historical_repayment_score,pm_kisan_status,crop_type,-110.0055,-48.967,-26.4234
F00014,825.46,pm_kisan_status,historical_repayment_score,irrigation_type,22.3557,16.9816,7.1779
F00016,686.39,pm_kisan_status,land_area_acres,irrigation_type,-58.0391,-24.6307,-8.256
F00018,790.34,pm_kisan_status,land_area_acres,crop_type,28.44,-28.437,8.1825
F00021,878.15,land_area_acres,historical_repayment_score,pm_kisan_status,36.2969,32.7229,27.9025
F00024,805.33,historical_repayment_score,pm_kisan_status,land_area_acres,45.6646,25.1534,-18.9812
F00029,773.14,liability_ratio_pct,land_area_acres,pm_kisan_status,-41.5187,26.0879,24.9103
F00030,925.6,historical_repayment_score,land_area_acres,pm_kisan_status,67.0991,35.8417,32.9117
F00032,717.71,historical_repayment_score,land_area_acres,pm_kisan_status,-113.1842,28.7359,25.3469
F00033,717.37,pm_kisan_status,historical_repayment_score,land_area_acres,-63.7785,-47.2797,35.5942
F00035,750.43,land_area_acres,pm_kisan_status,annual_income_inr,-54.9535,29.0063,8.4514
F00047,856.74,historical_repayment_score,land_area_acres,crop_type,66.1039,52.5137,-36.0431
F00048,753.05,land_area_acres,pm_kisan_status,irrigation_type,-48.1308,31.3872,-7.3518
F00049,744.94,pm_kisan_status,historical_repayment_score,land_area_acres,-56.1935,31.6151,-20.774
F00055,873.51,historical_repayment_score,pm_kisan_status,land_area_acres,81.5605,29.1171,-16.6209
F00059,852.98,historical_repayment_score,land_area_acres,pm_kisan_status,91.6741,-48.7657,32.5194
F00065,804.86,historical_repayment_score,land_area_acres,pm_kisan_status,49.0372,-39.7915,26.9897
F00066,814.75,pm_kisan_status,crop_type,irrigation_type,27.5242,17.2706,-10.8618
F00067,762.25,historical_repayment_score,pm_kisan_status,irrigation_type,-28.9425,28.0004,-10.2924
F00071,862.27,historical_repayment_score,land_area_acres,pm_kisan_status,87.5326,-51.5423,32.3554
F00073,772.96,historical_repayment_score,land_area_acres,pm_kisan_status,-61.5845,37.9462,25.3718
F00075,835.29,historical_repayment_score,pm_kisan_status,crop_type,35.9092,23.7509,-6.8597
F00076,942.89,historical_repayment_score,land_area_acres,pm_kisan_status,87.5635,31.6904,27.9672
F00080,721.56,pm_kisan_status,land_area_acres,historical_repayment_score,-55.2879,39.211,-37.478
F00081,815.86,historical_repayment_score,land_area_acres,pm_kisan_status,-39.0402,33.2459,29.5676
F00092,777.5,historical_repayment_score,crop_type,pm_kisan_status,39.643,-32.2987,27.1224
F00095,918.89,historical_repayment_score,land_area_acres,pm_kisan_status,64.0648,36.9556,31.5047
F00101,603.92,land_area_acres,historical_repayment_score,pm_kisan_status,-62.003,-55.7553,-49.7365
F00102,781.78,pm_kisan_status,irrigation_type,historical_repayment_score,25.2588,-10.9763,-10.8772
F00105,562.57,historical_repayment_score,pm_kisan_status,irrigation_type,-170.6508,-45.6821,-19.3609
F00109,864.18,historical_repayment_score,crop_type,pm_kisan_status,78.5804,-31.111,24.4282
F00110,822.66,historical_repayment_score,pm_kisan_status,land_area_acres,68.314,-49.5276,25.5998
F00118,575.11,historical_repayment_score,land_area_acres,annual_income_inr,-101.8093,-84.8842,-55.4416
F00122,842.63,historical_repayment_score,pm_kisan_status,irrigation_type,37.7798,24.2047,-9.0372
F00124,879.18,historical_repayment_score,pm_kisan_status,crop_type,63.696,27.7879,9.7717
F00127,637.82,land_area_acres,historical_repayment_score,pm_kisan_status,-83.285,-47.5243,27.5545
F00135,766.22,pm_kisan_status,land_area_acres,crop_type,-57.1363,38.864,-7.1163
F00139,767.77,historical_repayment_score,pm_kisan_status,land_area_acres,71.7913,-63.6031,-29.0338
F00142,784.11,land_area_acres,pm_kisan_status,ndvi_score,-55.917,33.1811,11.211
F00145,800.93,pm_kisan_status,historical_repayment_score,land_area_acres,-59.6393,39.4634,31.8368
F00147,859.3,historical_repayment_score,pm_kisan_status,land_area_acres,62.6325,32.6467,-28.7886
F00159,834.23,historical_repayment_score,land_area_acres,pm_kisan_status,60.3354,-56.8115,35.2733
F00162,788.35,pm_kisan_status,land_area_acres,historical_repayment_score,28.2678,-22.8744,8.5205
F00165,801.88,pm_kisan_status,irrigation_type,rainfall_deviation_pct,27.4604,-9.0184,4.1795
F00166,758.21,historical_repayment_score,pm_kisan_status,land_area_acres,-31.0788,26.8036,-12.9564
F00167,838.13,historical_repayment_score,land_area_acres,annual_income_inr,49.6076,36.5964,-29.5578
F00172,878.44,land_area_acres,historical_repayment_score,pm_kisan_status,37.9915,35.6953,26.5455
F00180,820.11,pm_kisan_status,historical_repayment_score,land_area_acres,-58.495,56.9339,34.3022
F00181,815.7,crop_type,historical_repayment_score,pm_kisan_status,-32.4725,32.3867,25.2763
F00183,788.08,historical_repayment_score,pm_kisan_status,crop_type,90.8665,-59.4896,-28.7577
F00187,741.47,pm_kisan_status,historical_repayment_score,land_area_acres,27.4446,-24.1686,-19.1989
F00189,894.96,historical_repayment_score,pm_kisan_status,land_area_acres,43.5644,25.8703,16.2837
F00194,814.16,historical_repayment_score,land_area_acres,pm_kisan_status,70.3199,-57.0873,33.568
F00195,888.91,historical_repayment_score,land_area_acres,pm_kisan_status,39.8245,35.4697,29.6736
F00200,450.03,historical_repayment_score,land_area_acres,irrigation_type,-228.8737,-61.5569,-44.6329
F00206,778.4,historical_repayment_score,land_area_acres,pm_kisan_status,-60.6079,36.6515,23.6991
F00207,630.52,historical_repayment_score,pm_kisan_status,land_area_acres,-173.6668,26.4682,25.6852
F00209,810.15,pm_kisan_status,land_area_acres,crop_type,-56.8242,36.4032,21.7729
F00211,910.53,historical_repayment_score,land_area_acres,pm_kisan_status,54.0257,36.2094,31.6118
F00219,774.23,land_area_acres,pm_kisan_status,crop_type,-55.9045,29.9135,7.9742
F00222,707.71,pm_kisan_status,historical_repayment_score,land_area_acres,-57.8685,-41.691,28.272
F00223,775.45,historical_repayment_score,pm_kisan_status,irrigation_type,-58.2281,27.2116,14.0105
F00236,851.96,land_area_acres,historical_repayment_score,crop_type,39.2252,36.6712,-29.5004
F00237,892.73,historical_repayment_score,pm_kisan_status,crop_type,62.0957,33.1985,9.5292
F00239,860.96,land_area_acres,pm_kisan_status,crop_type,39.8943,26.4251,17.94
F00245,759.91,historical_repayment_score,land_area_acres,pm_kisan_status,-102.2752,29.6345,26.7708
F00246,757.83,pm_kisan_status,land_area_acres,ndvi_score,-64.2952,39.2575,7.23
F00253,761.94,historical_repayment_score,pm_kisan_status,land_area_acres,-55.7749,25.4856,-19.4773
F00259,689.63,pm_kisan_status,historical_repayment_score,irrigation_type,-49.7447,-42.7108,-10.1074
F00262,850.83,historical_repayment_score,pm_kisan_status,land_area_acres,93.6944,-62.0372,34.3454
F00265,717.96,pm_kisan_status,land_area_acres,irrigation_type,-52.8782,8.6506,-8.0957
